	Freq	Parse-Seg	Parse-Syllable	FtBin	NonFinality	NonFinality-Foot	NonInitiality-Ft	WSP	Trochee	Iamb	All-Ft-L	All-Ft-R	Leftmost	Rightmost	Align-wd-L	Align-wd-R	Rh-Contour	
[H L1 L VC] \-> (H) (L1 L) VC		0	1	0	0	0	1	1	0	1	1	4	1	2	0	1	0	1
[H L1 L V] \-> (H) (L1 L) V		0	1	0	0	0	1	0	0	1	1	4	1	2	0	1	0	1
[H H L1 L VC] \-> H (H) (L1 L) VC		0	2	0	0	0	0	2	0	1	3	4	2	2	1	1	0	1
[H H L1 L V] \-> H (H) (L1 L) V		0	2	0	0	0	0	1	0	1	3	4	2	2	1	1	0	1
[H H L1 L V:] \-> H (H) (L1 L) V:		0	2	0	0	0	0	2	0	1	3	4	2	2	1	1	0	1
[H H L1 L V:C] \-> H (H) (L1 L) V:C		0	2	0	0	0	0	2	0	1	3	4	2	2	1	1	0	1
[H L1 L H V:] \-> (H) (L1 L) H V:		0	2	0	0	0	1	2	0	1	1	6	1	3	0	1	0	1
[H L1 L H V:] \-> (H) (L1 L) H V:		0	2	0	0	0	1	2	0	1	1	6	1	3	0	1	0	1
[H L1 L H VC] \-> (H) (L1 L) H VC		0	2	0	0	0	1	2	0	1	1	6	1	3	0	1	0	1
[H L1 L H VC] \-> (H) (L1 L) H VC		0	2	0	0	0	1	2	0	1	1	6	1	3	0	1	0	1
[H L1 L H V] \-> (H) (L1 L) H V		0	2	0	0	0	1	1	0	1	1	6	1	3	0	1	0	1
[H L1 L H V] \-> (H) (L1 L) H V		0	2	0	0	0	1	1	0	1	1	6	1	3	0	1	0	1
[H L1 L H V:C] \-> (H) (L1 L) H V:C		0	2	0	0	0	1	2	0	1	1	6	1	3	0	1	0	1
[H L1 L H V:C] \-> (H) (L1 L) H V:C		0	2	0	0	0	1	2	0	1	1	6	1	3	0	1	0	1
[H L1 L L VC] \-> (H) (L1 L) L VC		0	2	0	0	0	1	1	0	1	1	6	1	3	0	1	0	1
[H L1 L L VC] \-> (H) (L1 L) L VC		0	2	0	0	0	1	1	0	1	1	6	1	3	0	1	0	1
[H L1 L L V:] \-> (H) (L1 L) L V:		0	2	0	0	0	1	1	0	1	1	6	1	3	0	1	0	1
[H L1 L L V:] \-> (H) (L1 L) L V:		0	2	0	0	0	1	1	0	1	1	6	1	3	0	1	0	1
[H L1 L L V:C] \-> (H) (L1 L) L V:C		0	2	0	0	0	1	1	0	1	1	6	1	3	0	1	0	1
[H L1 L L V:C] \-> (H) (L1 L) L V:C		0	2	0	0	0	1	1	0	1	1	6	1	3	0	1	0	1
[L H L1 L V:] \-> L (H) (L1 L) V:		0	2	0	0	0	0	1	0	1	3	4	2	2	1	1	0	1
[L H L1 L VC] \-> L (H) (L1 L) VC		0	2	0	0	0	0	1	0	1	3	4	2	2	1	1	0	1
[L H L1 L V] \-> L (H) (L1 L) V		0	2	0	0	0	0	0	0	1	3	4	2	2	1	1	0	1
[L H L1 L V:C] \-> L (H) (L1 L) V:C		0	2	0	0	0	0	1	0	1	3	4	2	2	1	1	0	1
[L L L1 L V:C] \-> (L L) (L1 L) V:C		0	1	0	0	0	1	1	1	1	2	4	2	2	0	1	0	1
[L L L1 L V] \-> (L L) (L1 L) V		0	1	0	0	0	1	0	1	1	2	4	2	2	0	1	0	1
[L L L1 L VC] \-> (L L) (L1 L) VC		0	1	0	0	0	1	1	1	1	2	4	2	2	0	1	0	1
[L L L1 L V:] \-> (L L) (L1 L) V:		0	1	0	0	0	1	1	1	1	2	4	2	2	0	1	0	1
[L L1 H V:] \-> (L L1) (H) V:		0	1	0	0	0	1	1	1	1	2	3	1	2	0	1	1	1
[L L1 H V:C] \-> (L L1) (H) V:C		0	1	0	0	0	1	1	1	1	2	3	1	2	0	1	1	1
[L L1 H V] \-> (L L1) (H) V		0	1	0	0	0	1	0	1	1	2	3	1	2	0	1	1	1
[L L1 H VC] \-> (L L1) (H) VC		0	1	0	0	0	1	1	1	1	2	3	1	2	0	1	1	1
[H L L1 H V:] \-> H (L L1) (H) V:		0	2	0	0	0	0	2	1	1	4	3	2	2	1	1	1	1
[H L L1 H V:] \-> H (L L1) (H) V:		0	2	0	0	0	0	2	1	1	4	3	2	2	1	1	1	1
[H L L1 H VC] \-> H (L L1) (H) VC		0	2	0	0	0	0	2	1	1	4	3	2	2	1	1	1	1
[H L L1 H VC] \-> H (L L1) (H) VC		0	2	0	0	0	0	2	1	1	4	3	2	2	1	1	1	1
[H L L1 H V] \-> H (L L1) (H) V		0	2	0	0	0	0	1	1	1	4	3	2	2	1	1	1	1
[H L L1 H V] \-> H (L L1) (H) V		0	2	0	0	0	0	1	1	1	4	3	2	2	1	1	1	1
[H L L1 H V:C] \-> H (L L1) (H) V:C		0	2	0	0	0	0	2	1	1	4	3	2	2	1	1	1	1
[H L L1 H V:C] \-> H (L L1) (H) V:C		0	2	0	0	0	0	2	1	1	4	3	2	2	1	1	1	1
[L L1 H H V:] \-> (L L1) (H) H V:		0	2	0	0	0	1	2	1	1	2	5	1	3	0	1	1	1
[L L1 H H V] \-> (L L1) (H) H V		0	2	0	0	0	1	1	1	1	2	5	1	3	0	1	1	1
[L L1 H H VC] \-> (L L1) (H) H VC		0	2	0	0	0	1	2	1	1	2	5	1	3	0	1	1	1
[L L1 H L V:] \-> (L L1) (H) L V:		0	2	0	0	0	1	1	1	1	2	5	1	3	0	1	1	1
[L L1 H L V:C] \-> (L L1) (H) L V:C		0	2	0	0	0	1	1	1	1	2	5	1	3	0	1	1	1
[L L1 H L VC] \-> (L L1) (H) L VC		0	2	0	0	0	1	1	1	1	2	5	1	3	0	1	1	1
[L L1 H L V] \-> (L L1) (H) L V		0	2	0	0	0	1	0	1	1	2	5	1	3	0	1	1	1
[L L L1 H V:C] \-> L (L L1) (H) V:C		0	2	0	0	0	0	1	1	1	4	3	2	2	1	1	1	1
[L L L1 H V:C] \-> L (L L1) (H) V:C		0	2	0	0	0	0	1	1	1	4	3	2	2	1	1	1	1
[L L L1 H V] \-> L (L L1) (H) V		0	2	0	0	0	0	0	1	1	4	3	2	2	1	1	1	1
[L L L1 H V] \-> L (L L1) (H) V		0	2	0	0	0	0	0	1	1	4	3	2	2	1	1	1	1
[L L L1 H VC] \-> L (L L1) (H) VC		0	2	0	0	0	0	1	1	1	4	3	2	2	1	1	1	1
[L L L1 H VC] \-> L (L L1) (H) VC		0	2	0	0	0	0	1	1	1	4	3	2	2	1	1	1	1
[L L1 L L V:C] \-> (L L1) (L L) V:C		0	1	0	0	0	1	1	1	1	2	4	1	3	0	1	1	1
[L L1 L L V] \-> (L L1) (L L) V		0	1	0	0	0	1	0	1	1	2	4	1	3	0	1	1	1
[L L1 L L VC] \-> (L L1) (L L) VC		0	1	0	0	0	1	1	1	1	2	4	1	3	0	1	1	1
[L L1 H H V:C] \-> (L L1) (H) H V:C		0	2	0	0	0	1	2	1	1	2	5	1	3	0	1	1	1
[L L L1 H V:] \-> L (L L1) (H) V:		0	2	0	0	0	0	1	1	1	4	3	2	2	1	1	1	1
[L L L1 H V:] \-> L (L L1) (H) V:		0	2	0	0	0	0	1	1	1	4	3	2	2	1	1	1	1
[L L1 L L V:] \-> (L L1) (L L) V:		0	1	0	0	0	1	1	1	1	2	4	1	3	0	1	1	1
[H H1 H V:] \-> (H) (H1) (H) V:		0	1	0	0	0	1	1	0	1	3	6	1	2	0	1	0	2
[H H1 H V:C] \-> (H) (H1) (H) V:C		0	1	0	0	0	1	1	0	1	3	6	1	2	0	1	0	2
[H H1 H VC] \-> (H) (H1) (H) VC		0	1	0	0	0	1	1	0	1	3	6	1	2	0	1	0	2
[H H1 H V] \-> (H) (H1) (H) V		0	1	0	0	0	1	0	0	1	3	6	1	2	0	1	0	2
[H H1 H H V:] \-> (H) (H1) (H) H V:		0	2	0	0	0	1	2	0	1	3	9	1	3	0	1	0	2
[H H H1 H V:] \-> H (H) (H1) (H) V:		0	2	0	0	0	0	2	0	1	6	6	2	2	1	1	0	2
[H H1 H H VC] \-> (H) (H1) (H) H VC		0	2	0	0	0	1	2	0	1	3	9	1	3	0	1	0	2
[H H H1 H VC] \-> H (H) (H1) (H) VC		0	2	0	0	0	0	2	0	1	6	6	2	2	1	1	0	2
[H H1 H H V] \-> (H) (H1) (H) H V		0	2	0	0	0	1	1	0	1	3	9	1	3	0	1	0	2
[H H H1 H V] \-> H (H) (H1) (H) V		0	2	0	0	0	0	1	0	1	6	6	2	2	1	1	0	2
[H H1 H H V:C] \-> (H) (H1) (H) H V:C		0	2	0	0	0	1	2	0	1	3	9	1	3	0	1	0	2
[H H H1 H V:C] \-> H (H) (H1) (H) V:C		0	2	0	0	0	0	2	0	1	6	6	2	2	1	1	0	2
[H H1 H L V:] \-> (H) (H1) (H) L V:		0	2	0	0	0	1	1	0	1	3	9	1	3	0	1	0	2
[H H1 H L V:C] \-> (H) (H1) (H) L V:C		0	2	0	0	0	1	1	0	1	3	9	1	3	0	1	0	2
[H H1 H L VC] \-> (H) (H1) (H) L VC		0	2	0	0	0	1	1	0	1	3	9	1	3	0	1	0	2
[H H1 L L VC] \-> (H) (H1) (L L) VC		0	1	0	0	0	1	1	1	1	3	8	1	3	0	1	0	2
[H H1 L L V] \-> (H) (H1) (L L) V		0	1	0	0	0	1	0	1	1	3	8	1	3	0	1	0	2
[H H1 H L V] \-> (H) (H1) (H) L V		0	2	0	0	0	1	0	0	1	3	9	1	3	0	1	0	2
[H H1 L L V:] \-> (H) (H1) (L L) V:		0	1	0	0	0	1	1	1	1	3	8	1	3	0	1	0	2
[H H1 L L V:C] \-> (H) (H1) (L L) V:C		0	1	0	0	0	1	1	1	1	3	8	1	3	0	1	0	2
[L H H1 H V] \-> L (H) (H1) (H) V		0	2	0	0	0	0	0	0	1	6	6	2	2	1	1	0	2
[L H H1 H VC] \-> L (H) (H1) (H) VC		0	2	0	0	0	0	1	0	1	6	6	2	2	1	1	0	2
[L H H1 H V:] \-> L (H) (H1) (H) V:		0	2	0	0	0	0	1	0	1	6	6	2	2	1	1	0	2
[L H H1 H V:C] \-> L (H) (H1) (H) V:C		0	2	0	0	0	0	1	0	1	6	6	2	2	1	1	0	2
[L L H1 H V:] \-> (L L) (H1) (H) V:		0	1	0	0	0	1	1	1	1	5	6	2	2	0	1	0	2
[L L H1 H V] \-> (L L) (H1) (H) V		0	1	0	0	0	1	0	1	1	5	6	2	2	0	1	0	2
[L L H1 H VC] \-> (L L) (H1) (H) VC		0	1	0	0	0	1	1	1	1	5	6	2	2	0	1	0	2
[L L H1 H V:C] \-> (L L) (H1) (H) V:C		0	1	0	0	0	1	1	1	1	5	6	2	2	0	1	0	2
[H H1 H V:] \-> (H) (H1) (H) V:		0	1	0	0	0	1	1	0	1	3	6	1	2	0	1	0	2
[H H1 H V:C] \-> (H) (H1) (H) V:C		0	1	0	0	0	1	1	0	1	3	6	1	2	0	1	0	2
[H H1 H VC] \-> (H) (H1) (H) VC		0	1	0	0	0	1	1	0	1	3	6	1	2	0	1	0	2
[H H1 H V] \-> (H) (H1) (H) V		0	1	0	0	0	1	0	0	1	3	6	1	2	0	1	0	2
[H H1 H H V:] \-> (H) (H1) (H) H V:		0	2	0	0	0	1	2	0	1	3	9	1	3	0	1	0	2
[H H H1 H V:] \-> H (H) (H1) (H) V:		0	2	0	0	0	0	2	0	1	6	6	2	2	1	1	0	2
[H H1 H H VC] \-> (H) (H1) (H) H VC		0	2	0	0	0	1	2	0	1	3	9	1	3	0	1	0	2
[H H H1 H VC] \-> H (H) (H1) (H) VC		0	2	0	0	0	0	2	0	1	6	6	2	2	1	1	0	2
[H H1 H H V] \-> (H) (H1) (H) H V		0	2	0	0	0	1	1	0	1	3	9	1	3	0	1	0	2
[H H H1 H V] \-> H (H) (H1) (H) V		0	2	0	0	0	0	1	0	1	6	6	2	2	1	1	0	2
[H H1 H H V:C] \-> (H) (H1) (H) H V:C		0	2	0	0	0	1	2	0	1	3	9	1	3	0	1	0	2
[H H H1 H V:C] \-> H (H) (H1) (H) V:C		0	2	0	0	0	0	2	0	1	6	6	2	2	1	1	0	2
[H H1 H L V:] \-> (H) (H1) (H) L V:		0	2	0	0	0	1	1	0	1	3	9	1	3	0	1	0	2
[H H1 H L V:C] \-> (H) (H1) (H) L V:C		0	2	0	0	0	1	1	0	1	3	9	1	3	0	1	0	2
[H H1 H L VC] \-> (H) (H1) (H) L VC		0	2	0	0	0	1	1	0	1	3	9	1	3	0	1	0	2
[H H1 L L VC] \-> (H) (H1) (L L) VC		0	1	0	0	0	1	1	1	1	3	8	1	3	0	1	0	2
[H H1 L L V] \-> (H) (H1) (L L) V		0	1	0	0	0	1	0	1	1	3	8	1	3	0	1	0	2
[H H1 H L V] \-> (H) (H1) (H) L V		0	2	0	0	0	1	0	0	1	3	9	1	3	0	1	0	2
[H H1 L L V:] \-> (H) (H1) (L L) V:		0	1	0	0	0	1	1	1	1	3	8	1	3	0	1	0	2
[H H1 L L V:C] \-> (H) (H1) (L L) V:C		0	1	0	0	0	1	1	1	1	3	8	1	3	0	1	0	2
[L H H1 H V] \-> L (H) (H1) (H) V		0	2	0	0	0	0	0	0	1	6	6	2	2	1	1	0	2
[L H H1 H VC] \-> L (H) (H1) (H) VC		0	2	0	0	0	0	1	0	1	6	6	2	2	1	1	0	2
[L H H1 H V:] \-> L (H) (H1) (H) V:		0	2	0	0	0	0	1	0	1	6	6	2	2	1	1	0	2
[L H H1 H V:C] \-> L (H) (H1) (H) V:C		0	2	0	0	0	0	1	0	1	6	6	2	2	1	1	0	2
[L L H1 H V:] \-> (L L) (H1) (H) V:		0	1	0	0	0	1	1	1	1	5	6	2	2	0	1	0	2
[L L H1 H V] \-> (L L) (H1) (H) V		0	1	0	0	0	1	0	1	1	5	6	2	2	0	1	0	2
[L L H1 H VC] \-> (L L) (H1) (H) VC		0	1	0	0	0	1	1	1	1	5	6	2	2	0	1	0	2
[L L H1 H V:C] \-> (L L) (H1) (H) V:C		0	1	0	0	0	1	1	1	1	5	6	2	2	0	1	0	2
[H H1 H V:] \-> (H) (H1) (H) V:		0	1	0	0	0	1	1	0	1	3	6	1	2	0	1	0	2
[H H1 H V:C] \-> (H) (H1) (H) V:C		0	1	0	0	0	1	1	0	1	3	6	1	2	0	1	0	2
[H H1 H VC] \-> (H) (H1) (H) VC		0	1	0	0	0	1	1	0	1	3	6	1	2	0	1	0	2
[H H1 H V] \-> (H) (H1) (H) V		0	1	0	0	0	1	0	0	1	3	6	1	2	0	1	0	2
[H H1 H H V:] \-> (H) (H1) (H) H V:		0	2	0	0	0	1	2	0	1	3	9	1	3	0	1	0	2
[H H H1 H V:] \-> H (H) (H1) (H) V:		0	2	0	0	0	0	2	0	1	6	6	2	2	1	1	0	2
[H H1 H H VC] \-> (H) (H1) (H) H VC		0	2	0	0	0	1	2	0	1	3	9	1	3	0	1	0	2
[H H H1 H VC] \-> H (H) (H1) (H) VC		0	2	0	0	0	0	2	0	1	6	6	2	2	1	1	0	2
[H H1 H H V] \-> (H) (H1) (H) H V		0	2	0	0	0	1	1	0	1	3	9	1	3	0	1	0	2
[H H H1 H V] \-> H (H) (H1) (H) V		0	2	0	0	0	0	1	0	1	6	6	2	2	1	1	0	2
[H H1 H H V:C] \-> (H) (H1) (H) H V:C		0	2	0	0	0	1	2	0	1	3	9	1	3	0	1	0	2
[H H H1 H V:C] \-> H (H) (H1) (H) V:C		0	2	0	0	0	0	2	0	1	6	6	2	2	1	1	0	2
[H H1 H L V:] \-> (H) (H1) (H) L V:		0	2	0	0	0	1	1	0	1	3	9	1	3	0	1	0	2
[H H1 H L V:C] \-> (H) (H1) (H) L V:C		0	2	0	0	0	1	1	0	1	3	9	1	3	0	1	0	2
[H H1 H L VC] \-> (H) (H1) (H) L VC		0	2	0	0	0	1	1	0	1	3	9	1	3	0	1	0	2
[H H1 L L VC] \-> (H) (H1) (L L) VC		0	1	0	0	0	1	1	1	1	3	8	1	3	0	1	0	2
[H H1 L L V] \-> (H) (H1) (L L) V		0	1	0	0	0	1	0	1	1	3	8	1	3	0	1	0	2
[H H1 H L V] \-> (H) (H1) (H) L V		0	2	0	0	0	1	0	0	1	3	9	1	3	0	1	0	2
[H H1 L L V:] \-> (H) (H1) (L L) V:		0	1	0	0	0	1	1	1	1	3	8	1	3	0	1	0	2
[H H1 L L V:C] \-> (H) (H1) (L L) V:C		0	1	0	0	0	1	1	1	1	3	8	1	3	0	1	0	2
[L H H1 H V] \-> L (H) (H1) (H) V		0	2	0	0	0	0	0	0	1	6	6	2	2	1	1	0	2
[L H H1 H VC] \-> L (H) (H1) (H) VC		0	2	0	0	0	0	1	0	1	6	6	2	2	1	1	0	2
[L H H1 H V:] \-> L (H) (H1) (H) V:		0	2	0	0	0	0	1	0	1	6	6	2	2	1	1	0	2
[L H H1 H V:C] \-> L (H) (H1) (H) V:C		0	2	0	0	0	0	1	0	1	6	6	2	2	1	1	0	2
[L L H1 H V:] \-> (L L) (H1) (H) V:		0	1	0	0	0	1	1	1	1	5	6	2	2	0	1	0	2
[L L H1 H V] \-> (L L) (H1) (H) V		0	1	0	0	0	1	0	1	1	5	6	2	2	0	1	0	2
[L L H1 H VC] \-> (L L) (H1) (H) VC		0	1	0	0	0	1	1	1	1	5	6	2	2	0	1	0	2
[L L H1 H V:C] \-> (L L) (H1) (H) V:C		0	1	0	0	0	1	1	1	1	5	6	2	2	0	1	0	2
[H H1 H V:] \-> (H) (H1) (H) V:		0	1	0	0	0	1	1	0	1	3	6	1	2	0	1	0	2
[H H1 H V:C] \-> (H) (H1) (H) V:C		0	1	0	0	0	1	1	0	1	3	6	1	2	0	1	0	2
[H H1 H VC] \-> (H) (H1) (H) VC		0	1	0	0	0	1	1	0	1	3	6	1	2	0	1	0	2
[H H1 H V] \-> (H) (H1) (H) V		0	1	0	0	0	1	0	0	1	3	6	1	2	0	1	0	2
[H H1 H H V:] \-> (H) (H1) (H) H V:		0	2	0	0	0	1	2	0	1	3	9	1	3	0	1	0	2
[H H H1 H V:] \-> H (H) (H1) (H) V:		0	2	0	0	0	0	2	0	1	6	6	2	2	1	1	0	2
[H H1 H H VC] \-> (H) (H1) (H) H VC		0	2	0	0	0	1	2	0	1	3	9	1	3	0	1	0	2
[H H H1 H VC] \-> H (H) (H1) (H) VC		0	2	0	0	0	0	2	0	1	6	6	2	2	1	1	0	2
[H H1 H H V] \-> (H) (H1) (H) H V		0	2	0	0	0	1	1	0	1	3	9	1	3	0	1	0	2
[H H H1 H V] \-> H (H) (H1) (H) V		0	2	0	0	0	0	1	0	1	6	6	2	2	1	1	0	2
[H H1 H H V:C] \-> (H) (H1) (H) H V:C		0	2	0	0	0	1	2	0	1	3	9	1	3	0	1	0	2
[H H H1 H V:C] \-> H (H) (H1) (H) V:C		0	2	0	0	0	0	2	0	1	6	6	2	2	1	1	0	2
[H H1 H L V:] \-> (H) (H1) (H) L V:		0	2	0	0	0	1	1	0	1	3	9	1	3	0	1	0	2
[H H1 H L V:C] \-> (H) (H1) (H) L V:C		0	2	0	0	0	1	1	0	1	3	9	1	3	0	1	0	2
[H H1 H L VC] \-> (H) (H1) (H) L VC		0	2	0	0	0	1	1	0	1	3	9	1	3	0	1	0	2
[H H1 L L VC] \-> (H) (H1) (L L) VC		0	1	0	0	0	1	1	1	1	3	8	1	3	0	1	0	2
[H H1 L L V] \-> (H) (H1) (L L) V		0	1	0	0	0	1	0	1	1	3	8	1	3	0	1	0	2
[H H1 H L V] \-> (H) (H1) (H) L V		0	2	0	0	0	1	0	0	1	3	9	1	3	0	1	0	2
[H H1 L L V:] \-> (H) (H1) (L L) V:		0	1	0	0	0	1	1	1	1	3	8	1	3	0	1	0	2
[H H1 L L V:C] \-> (H) (H1) (L L) V:C		0	1	0	0	0	1	1	1	1	3	8	1	3	0	1	0	2
[L H H1 H V] \-> L (H) (H1) (H) V		0	2	0	0	0	0	0	0	1	6	6	2	2	1	1	0	2
[L H H1 H VC] \-> L (H) (H1) (H) VC		0	2	0	0	0	0	1	0	1	6	6	2	2	1	1	0	2
[L H H1 H V:] \-> L (H) (H1) (H) V:		0	2	0	0	0	0	1	0	1	6	6	2	2	1	1	0	2
[L H H1 H V:C] \-> L (H) (H1) (H) V:C		0	2	0	0	0	0	1	0	1	6	6	2	2	1	1	0	2
[L L H1 H V:] \-> (L L) (H1) (H) V:		0	1	0	0	0	1	1	1	1	5	6	2	2	0	1	0	2
[L L H1 H V] \-> (L L) (H1) (H) V		0	1	0	0	0	1	0	1	1	5	6	2	2	0	1	0	2
[L L H1 H VC] \-> (L L) (H1) (H) VC		0	1	0	0	0	1	1	1	1	5	6	2	2	0	1	0	2
[L L H1 H V:C] \-> (L L) (H1) (H) V:C		0	1	0	0	0	1	1	1	1	5	6	2	2	0	1	0	2
[H H H1 H V:] \-> (H) (H) (H1) (H) V:		0	1	0	0	0	1	1	0	1	6	10	2	2	0	1	0	3
[H H H1 H VC] \-> (H) (H) (H1) (H) VC		0	1	0	0	0	1	1	0	1	6	10	2	2	0	1	0	3
[H H H1 H V] \-> (H) (H) (H1) (H) V		0	1	0	0	0	1	0	0	1	6	10	2	2	0	1	0	3
[H H H1 H V:C] \-> (H) (H) (H1) (H) V:C		0	1	0	0	0	1	1	0	1	6	10	2	2	0	1	0	3
[H H H1 H V:] \-> (H) (H) (H1) (H) V:		0	1	0	0	0	1	1	0	1	6	10	2	2	0	1	0	3
[H H H1 H VC] \-> (H) (H) (H1) (H) VC		0	1	0	0	0	1	1	0	1	6	10	2	2	0	1	0	3
[H H H1 H V] \-> (H) (H) (H1) (H) V		0	1	0	0	0	1	0	0	1	6	10	2	2	0	1	0	3
[H H H1 H V:C] \-> (H) (H) (H1) (H) V:C		0	1	0	0	0	1	1	0	1	6	10	2	2	0	1	0	3
[H H H1 H V:] \-> (H) (H) (H1) (H) V:		0	1	0	0	0	1	1	0	1	6	10	2	2	0	1	0	3
[H H H1 H VC] \-> (H) (H) (H1) (H) VC		0	1	0	0	0	1	1	0	1	6	10	2	2	0	1	0	3
[H H H1 H V] \-> (H) (H) (H1) (H) V		0	1	0	0	0	1	0	0	1	6	10	2	2	0	1	0	3
[H H H1 H V:C] \-> (H) (H) (H1) (H) V:C		0	1	0	0	0	1	1	0	1	6	10	2	2	0	1	0	3
[H H H1 H V:] \-> (H) (H) (H1) (H) V:		0	1	0	0	0	1	1	0	1	6	10	2	2	0	1	0	3
[H H H1 H VC] \-> (H) (H) (H1) (H) VC		0	1	0	0	0	1	1	0	1	6	10	2	2	0	1	0	3
[H H H1 H V] \-> (H) (H) (H1) (H) V		0	1	0	0	0	1	0	0	1	6	10	2	2	0	1	0	3
[H H H1 H V:C] \-> (H) (H) (H1) (H) V:C		0	1	0	0	0	1	1	0	1	6	10	2	2	0	1	0	3
[H H1 H H V:] \-> (H) (H1) (H) (H) V:		0	1	0	0	0	1	1	0	1	6	10	1	3	0	1	0	3
[H H1 H H VC] \-> (H) (H1) (H) (H) VC		0	1	0	0	0	1	1	0	1	6	10	1	3	0	1	0	3
[H H1 H H V] \-> (H) (H1) (H) (H) V		0	1	0	0	0	1	0	0	1	6	10	1	3	0	1	0	3
[H H1 H H V:C] \-> (H) (H1) (H) (H) V:C		0	1	0	0	0	1	1	0	1	6	10	1	3	0	1	0	3
[H H1 H H V:] \-> (H) (H1) (H) (H) V:		0	1	0	0	0	1	1	0	1	6	10	1	3	0	1	0	3
[H H1 H H VC] \-> (H) (H1) (H) (H) VC		0	1	0	0	0	1	1	0	1	6	10	1	3	0	1	0	3
[H H1 H H V] \-> (H) (H1) (H) (H) V		0	1	0	0	0	1	0	0	1	6	10	1	3	0	1	0	3
[H H1 H H V:C] \-> (H) (H1) (H) (H) V:C		0	1	0	0	0	1	1	0	1	6	10	1	3	0	1	0	3
[H H1 H H V:] \-> (H) (H1) (H) (H) V:		0	1	0	0	0	1	1	0	1	6	10	1	3	0	1	0	3
[H H1 H H VC] \-> (H) (H1) (H) (H) VC		0	1	0	0	0	1	1	0	1	6	10	1	3	0	1	0	3
[H H1 H H V] \-> (H) (H1) (H) (H) V		0	1	0	0	0	1	0	0	1	6	10	1	3	0	1	0	3
[H H1 H H V:C] \-> (H) (H1) (H) (H) V:C		0	1	0	0	0	1	1	0	1	6	10	1	3	0	1	0	3
[H H1 H H V:] \-> (H) (H1) (H) (H) V:		0	1	0	0	0	1	1	0	1	6	10	1	3	0	1	0	3
[H H1 H H VC] \-> (H) (H1) (H) (H) VC		0	1	0	0	0	1	1	0	1	6	10	1	3	0	1	0	3
[H H1 H H V] \-> (H) (H1) (H) (H) V		0	1	0	0	0	1	0	0	1	6	10	1	3	0	1	0	3
[H H1 H H V:C] \-> (H) (H1) (H) (H) V:C		0	1	0	0	0	1	1	0	1	6	10	1	3	0	1	0	3
