	Freq	Parse-Seg	Parse-Syllable	FtBin	NonFinality	NonFinality-Foot	NonInitiality-Ft	WSP	Trochee	Iamb	All-Ft-L	All-Ft-R	Leftmost	Rightmost	Align-wd-L	Align-wd-R	Rh-Contour	
[H H H1 L V:C] \-> H (H) (H1) L V:C		0	3	0	0	0	0	2	0	1	3	5	2	2	1	1	0	1
[H H1 H L VC] \-> (H) (H1) H L VC		0	3	0	0	0	1	2	0	1	1	7	1	3	0	1	0	1
[H H1 H L VC] \-> H (H1) (H) L VC		0	3	0	0	0	0	2	0	1	3	5	1	3	1	1	0	1
[H H H1 L VC] \-> H (H) (H1) L VC		0	3	0	0	0	0	2	0	1	3	5	2	2	1	1	0	1
[H H1 L H V:] \-> (H) (H1) L H V:		0	3	0	0	0	1	2	0	1	1	7	1	3	0	1	0	1
[H H1 L H V:C] \-> (H) (H1) L H V:C		0	3	0	0	0	1	2	0	1	1	7	1	3	0	1	0	1
[H H1 L H VC] \-> (H) (H1) L H VC		0	3	0	0	0	1	2	0	1	1	7	1	3	0	1	0	1
[H H1 L H V] \-> (H) (H1) L H V		0	3	0	0	0	1	1	0	1	1	7	1	3	0	1	0	1
[H H1 L L VC] \-> (H) (H1) L L VC		0	3	0	0	0	1	1	0	1	1	7	1	3	0	1	0	1
[H H1 L L VC] \-> H (H1) (L L) VC		0	2	0	0	0	0	2	1	1	3	4	1	3	1	1	0	1
[H H1 L L V] \-> (H) (H1) L L V		0	3	0	0	0	1	0	0	1	1	7	1	3	0	1	0	1
[H H1 L L V] \-> H (H1) (L L) V		0	2	0	0	0	0	1	1	1	3	4	1	3	1	1	0	1
[H H1 H L V] \-> (H) (H1) H L V		0	3	0	0	0	1	1	0	1	1	7	1	3	0	1	0	1
[H H1 H L V] \-> H (H1) (H) L V		0	3	0	0	0	0	1	0	1	3	5	1	3	1	1	0	1
[H H H1 L V] \-> H (H) (H1) L V		0	3	0	0	0	0	1	0	1	3	5	2	2	1	1	0	1
[H H1 L L V:] \-> (H) (H1) L L V:		0	3	0	0	0	1	1	0	1	1	7	1	3	0	1	0	1
